Title,Price,Description,Image URL,Link,Type,Brand
MS GLOW BUNDLING SUNWHITE + NIGHT CREAM - SUNWHITE + WHITENING NIGHT CREAM,Rp155.000,"BUNDLING SUNWHITE DAN NIGHT CREAM BY MS GLOW

Sun White Daily Cream merupakan suncreen  multifungsi dengan ADVANCED 3X PROTECTOR, sehingga tidak hanya melindungi kulit dari UVA dan UVB dengan SPF 50 PA+++ saja, namun juga Blue Light Protection! Memiliki fungsi sebagai color corrector sehingga warna kulit akan tampak lebih cerah merata secara instan dengan hasil dewy finish, daily cream ini bertekstur ringan dan non-comedogenic. Dikombinasikan dengan White Cell DNA, 7X Ceramide, Niacinamide dan 5X Hyaluronic Acid untuk secara aktif menghidrasi kulit dan memperbaiki skin barrier.
Pilih Cream malam sesuai dengan kebutuhan kulitmu ya beauties!

-Whitening Night Cream merupakan krim malam yang berfungsi untuk mencerahkan serta menutrisi kulit saat tidur di malam hari, sehingga keesokannya kulit akan tampak lebih cerah dan lembap.

-WhiteCellDNA Night Cream adalah krim malam yang diformulasikan untuk membantu mengatasi kulit kusam, noda hitam, dan keluhan akibat rusaknya skin barrier. Produk ini telah diuji oleh ahli dan terbukti membantu memperbaiki kondisi kulit dalam 7 hari.

-Luminous Whitening Night Cream merupakan krim malam yang diformulasikan untuk kulit kusam dengan noda wajah seperti bekas jerawat, flek hitam, dan hiperpigmentasi. Dapat mencerahkan, menghilangkan noda, dan meratakan warna kulit wajah.

-Ultimate Night Cream merupakan krim malam yang dapat digunakan sebagai cream anti-aging. Formulasinya dapat membantu mencerahkan dan meregenerasi kulit serta memudarkan flek atau noda wajah.

-Acne Night Cream khusus untuk kulit yang cenderung berjerawat. Dengan formula unik sebagai anti bakteri, mengontrol minyak berlebih, membantu merawat kulit berjerawat, dan meminimalisir peradangan pada jerawat.

Cara Pemakaian
Pagi : Facial Wash - Toner - Serum - Sunwhite Daily Cream
Malam : Facial Wash - Toner - Serum - Night Cream",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/7c9786d645494262b9b12ea549a534d9~.jpeg.webp?ect=4g,https://www.tokopedia.com/msglowdistributorjkt/ms-glow-bundling-sunwhite-night-cream-1730922810375243127?extParam=whid%3D6671098%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Paket Perawatan Wajah']",ms glow
MS GLOW PAKET WAJAH KECANTIKAN FREE DTE MINI 30ML - Facial Mencerahkan Kusam Memudarkan Flek Jerawat - PAKET WHITENING 1,Rp240.000,"5 VARIAN PAKET WAJAH MS GLOW FREE DTE MINI 30 ML

ISI: FACIAL WASH (SUPER CLEAN) KEMASAN TERBARU - WHITENING DAY CREAM - TONER - NIGHT CREAM dan FREE DTE MINI - 30 ML

PAKET WAJAH WHITENING
Varian paket wajah MS GLOW yang diformulasikan khusus dengan kandungan Whitening Active untuk membantu mencerahkan kulit kusam agar tampak lebih cerah dan sehat bercahaya dari hari ke hari.
Product Benefits :
Melembabkan Kulit
Mencerahkan Kulit
Menutrisi Kulit

Recommended for :
Kulit Kusam
Kulit Normal

PAKET WAJAH ACNE
Varian paket wajah MS GLOW yang diformulasikan khusus untuk kulit wajah yang berjerawat dan berminyak. Kandungannya dapat membantu mengurangi bakteri penyebab jerawat sehingga pertumbuhan jerawat dapat berkurang dan mencegah jerawat datang kembali, serta mengatasi minyak berlebih agar kulit wajah tampak lebih bersih, cerah, dan sehat bercahaya dari hari ke hari.
Manfaat produk:
1. Membantu mengurangi jerawat
2. Mencerahkan bekas jerawat
3. Mencegah pertumbuhan jerawat

PAKET WAJAH LUMINOUS
Luminous Whitening Night Cream merupakan krim malam yang diformulasikan untuk kulit kusam dengan noda wajah seperti bekas jerawat, flek hitam, dan hiperpigmentasi.
Dapat mencerahkan, menghilangkan noda, dan meratakan warna kulit wajah.
Product Benefits :
-Melembabkan Kulit
-Mencerahkan Kulit
-Menyamarkan flek / noda hitam
-Menyamarkan noda

Recommended for :
-Kulit Kusam
-Kulit Normal

PAKET WAJAH ULTIMATE
Varian paket wajah MS GLOW yang diformulasikan khusus untuk kulit dengan tanda penuaan seperti noda hitam atau flek, hiperpigmentasi dan garis halus agar tampak lebih cerah, flek berkurang, kulit kencang dan sehat bercahaya dari hari ke hari
Product Benefits :
Mengencangkan kulit
Menjaga elastisitas kulit
Menyamarkan flek / noda hitam

PAKET WAJAH WHITECELL DNA
WhiteCellDNA Night Cream adalah krim malam yang diformulasikan untuk mengatasi kulit kusam, noda hitam, dan keluhan akibat rusaknya skin barrier. Produk ini telah diuji oleh ahli dan terbukti membantu memperbaiki kondisi kulit dalam 7 hari. Diperkaya kandungan Niacinamide dan Squalane yang melembapkan kulit, formulanya lembutnya membuat MS Glow WhiteCellDNA Night Cream dapat digunakan oleh semua jenis kulit, ibu hamil dan menyusui, serta remaja.
-Deep Treatment Essence with Salmon DNA adalah essence untuk mencerahkan, memperbaiki tekstur kulit dan mengencangkan kulit secara maksimal agar kulitmu tampak jauh lebih muda.
Product Benefits :
Anti-aging
Memperkuat Skin Barrier
Mencerahkan Kulit
Menenangkan kulit
Menghidrasi kulit
Meregenerasi sel kulit

-Deep Treatment Essence MS GLOW bermanfaat untuk menguatkan skin barrier, menutrisi kulit, dan menjaga kelembaban kulit hingga lapisan terdalam. Formulasinya dapat menghidrasi kulit dan membantu kinerja skincare berikutnya agar dapat bekerja lebih maksimal. Kulitmu jadi lebih calm, plump dan glowing.
Product Benefits :
Memperkuat Skin Barrier
Menenangkan kulit kemerahan dan iritasi
Menghidrasi kulit hingga lapisan terdalam
Menutrisi Kulit

How To Use / Cara Pemakaian
Pagi : Facial Wash - Toner - DTE Mini - Serum - Whitening Day Cream
Malam : Facial Wash - Toner - DTE Mini - Serum - Night Cream",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/4111212c6c3445d0b3a71acbf3c6bc10~.jpeg.webp?ect=4g,https://www.tokopedia.com/msglowdistributorjkt/ms-glow-paket-wajah-kecantikan-free-dte-mini-30ml-facial-mencerahkan-kusam-memudarkan-flek-jerawat-1731032539980399991?extParam=whid%3D6671098%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Paket Perawatan Wajah']",ms glow
YOU HY! AMINO CONTR-OIL FACIAL WASH,Rp35.800,"YOU HY! AMINO CONTR-OIL FACIAL WASH
Benefit:
• 5D Hyaluronic Acid
Mengandung 5 jenis Hyaluronic Acid yang membantu menghidrasi kulit.
• Amino Acid Formula
Diperkaya dengan 4 jenis Asam Amino untuk membantu menjaga kelembapan kulit.
Ingredients Utama:
-Salicylic Acid
-Glycolic Acid
-Volcanic Soil",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/7/24/f66fe317-91f5-4072-ad11-bee6dc5d6ea7.jpg.webp?ect=4g,https://www.tokopedia.com/msglowdistributorjkt/you-hy-amino-contr-oil-facial-wash?extParam=src%3Dshop%26whid%3D6671098&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Cleanser Wajah']",ms glow
MS GLOW ELIXIR - DUAL RETIGLOW - MAXI ROYAL C - ACNE ZORE ELIXIR - RETINOL 15ML - RETINOL ELIXIR,Rp64.000,"MS GLOW ENCAPSULATED ELIXIR/DUAL RETIGLOW/MAXI ROYAL C/ACNE ZORE ELIXIR RETINOL 15ML

MS GLOW Encapsulated Retinol Elixir diperkaya dengan Encapsulated Retinol, Retinal, Bakuchiol, Ceramide, dan Peptide yang dapat membantu mempercepat natural skin cycling, membantu menyamarkan kerutan halus pada kulit wajah, membantu memudarkan bekas jerawat, melembapkan kulit agar kulit lebih halus, dan sebagai perawatan anti-aging.
MANFAAT UTAMA:
-Efisien sebagai anti-aging
-Merangsang produksi kolagen dan menormalkan keratinisasi kulit
-Sebagai antioksidan yang mempercepat regenerasi sel
-Meningkatkan elastisitas, kelembutan kulit, menghasilkan kulit yang lebih muda, segar dan sehat.
-Mengurangi produksi melanin, dan memiliki efek anti-inflamasi, berguna dalam pengobatan jerawat vulgaris
-Mengurangi munculnya kerutan sekaligus menghaluskan dan memperbarui kulit diformulasi dengan Retinal untuk tampilan awet muda dan bercahaya, tanpa iritasi.
-Mengembalikan kelenturan dan kecerahan kulit dengan kombinasi peptide yang sangat efektif

MS GLOW DUAL RETIGLOW ROYAL 0.1% RETINAL + RETINYL PALMITATE
Kandungan Retinal yang bekerja 11x lebih cepat dibanding retinol dan Retinyl yang gentle menciptakan kombinasi yang bermanfaat untuk memperbaiki tekstur kulit, merangsang regenerasi sel, dan melawan tanda-tanda penuaan
MS GLOW MAXI ROYAL -C ELIXIR
10% NIACINAMIDE + 5% VITAMIN C
Advanced Dual-Action Radiance untuk membuat kulit tampak lebih cerah dan bercahaya. Kandungan Niacinamide dan Vitamin C yang kaya antioksidan, terbukti efektif membantu mempercepat regenerasi kulit sehingga mampu membantu mengurangi pigmentasi dan mencerahkan kulit
MSGLOW ACNE ZONE ELIXIR
2% SALICYLIC ACID + 4% NIACINAMIDE
Acne Potion untuk membantu menyembuhkan kulit bejerawat secara cepat dan efektif, menjadikannya lebih sehat dan bercahaya. Mengandung Potent ingredient yang dapat menyelesaikan permasalahan kulit berjerawat lebih cepat",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/ab126f424e6543618484376ba478d2dd~.jpeg.webp?ect=4g,https://www.tokopedia.com/msglowdistributorjkt/ms-glow-elixir-dual-retiglow-maxi-royal-c-acne-zore-elixir-retinol-15ml-1730828565935457655?extParam=src%3Dshop%26whid%3D6671098&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Serum Wajah']",ms glow
FOCALLURE FA26 BLUSH ON HIGHLIGHTER EYESHADOW 3IN1 PALETTE - FA-26-001,Rp54.500,"FOCALLURE FA26 BLUSH ON HIGHLIGHTER EYESHADOW 3IN1 PALETTE

Feature:
-Blush all day and night with the flush of true love.
-The long-wear,fade-proof,smudge-proof formula keeps your cheeks perfecty flushed for up to 16hours.
-Pigment-rich,high-impact shades give a pretty pop of color for and skin tone.

Ingredients:
Talic,Mica,Silica,Magnesium stearate,Dimethicone,Ethylhexyl palmite,Caprylic/capric tiglyceride,CI42090,CI16035,CI19140,CI77492,CI77007,CI77891,CI45410,Tocopherol,Phenoxyethanol.

Details:
Net Weight:10.5g/37.OZ
Packaged in Single Package
Health Licenece: GD.FDA29-XK-3276
Produce Licence: XK16-108 8553
Executive Standard: QB/T1976-2004

Caution:
1.Please do not for purposes other than makeup.
2.Please do not put in direct sunlight or temperature is too high or too low.
3.Keep out of the reach of children.",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/8/12/7e6cfd8b-7223-4fa1-8362-0dfe739f84d3.jpg.webp?ect=4g,https://www.tokopedia.com/msglowdistributorjkt/focallure-fa26-blush-on-highlighter-eyeshadow-3in1-palette-fa-26-001-b2dc4?extParam=src%3Dshop%26whid%3D6671098&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Make up Wajah', 'Highlighter']",ms glow
MS GLOW WHITENING DAY CREAM SPF 30PA+++,Rp78.500,"Jam Operasional (Senin - Sabtu) : 09.00 -17.00 WIB
Pesanan akan dikirimkan H setelah pembayaran dikonfirmasi sebelum jam 15:00, tidak terhitung MINGGU (TERMASUK TANGGAL MERAH/HARI BESAR) LIBUR & TIDAK ADA PENGIRIMAN

Whitening Day Cream dapat digunakan untuk semua jenis kulit dan berfungsi menyamarkan noda dan mencerahkan wajah. Mengandung SPF 30 yang dapat melindungi kulit dari sinar UVA & UVB dengan tekstur foundation super lembut dapat menutupi noda dan pori-pori di wajah serta memberikan efek kulit yang sehat dan glowing.



Product Benefits :
Melembabkan Kulit
Melindungi kulit dari sinar UV
Mencerahkan Kulit
Menyamarkan noda

Recommended for : Semua Jenis Kulit",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/b9c6155157d3440cbf828827034ea8b2~.jpeg.webp?ect=4g,https://www.tokopedia.com/msglowdistributorjkt/ms-glow-bb-cream-daily-whitening?extParam=src%3Dshop%26whid%3D6671098&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Face Mist']",ms glow
NPURE Cica Acne Toner 150 ml / Acne Toner / Toner Kulit Jerawat Berminyak / Mencerahkan / Beruntusan / Hydrating Wajah,Rp89.999,"NPURE Cica Acne Toner 150 ml / Acne Toner / Toner Kulit Jerawat Berminyak / Mencerahkan / Beruntusan / Hydrating Wajah


Tersedia :
- Netto Cica Face Toner 150 ml
- Netto Cica Face Toner 30 ml


Toner No. 1 di Indonesia dengan Daun Centella asli didalamnya
Best Selling Acne Toner di Indonesia


Hydrating toner dengan pH balance yang mengandung Real Centella Leaves, 11x Acne Power Fighter, dan
Tranexamic Acid untuk membantu membersihkan wajah dari sisa kotoran, mencerahkan kulit wajah, merawat kulit
berjerawat serta membuat kulit terasa segar, lembut, dan lembap.


Untuk semua jenis kulit, terutama acne prone skin
Dapat digunakan mulai dari usia 14 tahun
Formula pH balance / sesuai dengan pH kulit


Cocok untuk berbagai jenis jerawat di wajah, seperti:
● Beruntusan
● Jerawat kemerahan
● Jerawat papula
● Jerawat pustula
● Jerawat cystic
● Whitehead / blackhead / komedo
● Maskne


Key Ingredients:
● Daun Centella Asiatica asli, memberikan efek soothing & calming pada kulit, cocok untuk kulit berjerawat
● 11x Acne Power Fighter (Niacinamide, Centella Asiatica Extract, Salicylic Acid, Camellia Sinensis Leaf
Extract, Citrus Junos Seed Extract, Citrus Unshiu Peel Extract, Actinidia Chinensis Seed Extract, Fragaria
Chiloensis Fruit Extract, Vitis Vinivera Leaf Extract, Vitis Vinivera Skin Extract, Garcinia Mangostana Peel
Extract), merawat kulit berjerawat, meredakan kemerahan, menyamarkan bekas jerawat, mencerahkan
wajah.
● Tranexamic Acid, membantu mengurangi hiperpigmentasi / noda hitam bekas jerawat untuk warna kulit
yang merata dan lebih cerah


Cara Pakai:
Tuangkan toner ke kapas dan usap atau tepuk-tepuk lembut pada wajah dan leher untuk mengangkat sisa kotoran
yang ada di wajah. Dapat digunakan sebagai masker wajah dengan cara menempelkan kapas yang telah dituangkan
toner di area wajah hingga kapas kering. Dapat digunakan setiap hari, pada pagi dan malam hari. Gunakan NPURE
Cica Series lainnya untuk hasil lebih maksimal.


BPOM, Halal, Dermatologically Tested, pH Balance, Alcohol Free, Paraben Free, SLS Free, Silicone Free, Bumil &
Busui Friendly, No Animal Testing, EU Alergen Free, Minimal Ingredients.",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/ef286705e6cf44879fd6e650b87924f6~.jpeg.webp?ect=4g,https://www.tokopedia.com/msglowdistributorjkt/npure-cica-acne-toner-150-ml-acne-toner-toner-kulit-jerawat-berminyak-mencerahkan-beruntusan-hydrating-wajah-1731734145362134391?extParam=src%3Dshop%26whid%3D6671098&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Toner Wajah']",ms glow
The Originote Eye Serum - Eye Treatment Eye Cream untuk Mencerahkan dan Mengencangkan Area Mata with Caffeine Peptides,Rp35.999,"The Originote Eye Serum - Eye Treatment Eye Cream untuk Mencerahkan dan Mengencangkan Area Mata with Caffeine Peptides


Netto 15gr
Purchase Limit: 5


Serum mata yang diformulasikan dengan dua jenis Peptides, Caffeine, dan Licorice dapat membantu dalam merawat daerah sekitar mata dengan melembapkan daerah sekitar mata sehingga area mata terlihat lebih kencang dan terawat.


MANFAAT
Melembapkan area mata


CARA PENGGUNAAN
Tuangkan eye serum pada ujung jari secukupnya, aplikasikan pada area bawah dan kelopak mata. Gunakan jari untuk memijat secara perlahan dan biarkan hingga meresap sempurna.",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/86add44d167d403b9c0fe75f06e642ac~.jpeg.webp?ect=4g,https://www.tokopedia.com/msglowdistributorjkt/the-originote-eye-serum-eye-treatment-eye-cream-untuk-mencerahkan-dan-mengencangkan-area-mata-with-caffeine-peptides-1731748286353081719?extParam=src%3Dshop%26whid%3D6671098&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Krim Mata']",ms glow
MS GLOW WHITE FORTE BODY LOTION 250 GR,Rp120.000,"MS GLOW WHITE FORTE BODY LOTION 250 GR

White Forte Body Lotion merupakan body lotion yang mengandung Niacinamide, Alpha Arbutin, Kojic Acid, Glutathione dan Vitamin-C yang dapat melindungi kulit dari paparan sinar matahari, menenangkan dan menghidrasi kulit, serta membantu kulit tampak lebih cerah, lembut, dan lembap.
Product Benefits :
Membantu mencerahkan dan menenangkan kulit sensitif
Membantu mengatasi hiperpigmentasi
Membantu memudarkan flek hitam, PIH, dan melasma
Sebagai antioksidan, membantu dan melawan radikal bebas dan efek buruk sinar matahari
Membantu mempertahankan elastisitas kulit.

Cara Pemakaian :
Aplikasikan secara merata pada kulit lengan dan kaki yang telah dibersihkan. Gunakan secara teratur di pagi dan malam hari untuk mendapatkan hasil maksimal.

Nomor BPOM : NA18240114050",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/7f72e46543014632a70c4baf86e10fc4~.jpeg.webp?ect=4g,https://www.tokopedia.com/msglowdistributorjkt/ms-glow-white-forte-body-lotion-250-gr-1730895665136633207?extParam=src%3Dshop%26whid%3D6671098&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Perawatan Kuku', 'Foot Scrub']",ms glow
MS GLOW CREAM SIANG DAY / SUNGLOW / SUNWHITE - DAY CREAM,Rp78.500,"DAY CREAM SPF 30
Semua jenis kulit
Manfaat Day Cream:
- Day cream -dengan tekstur foundation super lembut bisa cover noda dan pori muka
- Melindungi kulit dari paparan sinar matahari lansung
- Efek glowing
Cara Pemakaian :
- Oleskan Whitening day cream di atas kulit bersih secara merata untuk mendapatkan hasil yang maksimal.
- Day Cream di gunakan pagi hari dan dapat diulang sore hari.

SUNWHITE SPF 50
Product Benefits :
-Melindungi kulit dari sinar blue light
-Melindungi kulit dari sinar UV
-Memperkuat Skin Barrier
-Mencerahkan Kulit
-Menghidrasi kulit

Recommended for :
-Kulit Kusam
-Kulit Normal

SUNGLOW SPF 30
Product Benefits :
-Melindungi kulit dari sinar blue light
-Melindungi kulit dari sinar UV
-Memperkuat Skin Barrier
-Mencerahkan Kulit
-Menghidrasi kulit

Recommended for : -Kulit Berjerawat",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/aa4d4cb3649d4c2b959f38616ec91776~.jpeg.webp?ect=4g,https://www.tokopedia.com/msglowdistributorjkt/ms-glow-cream-siang-day-sunglow-sunwhite-1729383361018365303?extParam=src%3Dshop%26whid%3D6671098&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Face Mist']",ms glow
